,comm_2
1318,1289970598744121348
1319,1291113678150995968
1320,1395917054
1321,3245443367
1322,243409167
1323,1240620217446825985
1324,2971767178
1325,2642979744
1326,1916429852
1327,1176955191289090053
1328,701070513314070528
1329,141575649
1330,964698482501177344
1331,3426860405
1332,2194620853
1333,1345500851117428736
1334,441404720
1335,371347243
1336,1322967296734801924
1337,166891148
1338,879073000817127427
1339,1143289143117647872
1340,1337746453
1341,1332709419277295616
1342,797931867676741632
1343,1161321466996150275
1344,4657292734
1345,727666699
1346,1383351774
1347,1367203379722739713
1348,4570277056
1349,1888983908
1350,465046721
1351,1154049989347336192
1352,373755451
1353,77340162
1354,4079229429
1355,744649047022133248
1356,4376481495
1357,1284633737704202241
1358,1009541114507022337
1359,1074005739528773632
1360,2595004402
1361,184290699
1362,149739049
1363,360956057
1364,386051006
1365,1289036234
1366,3289428429
1367,706572212766162949
1368,1185336469994520577
1369,1684690212
1370,1285824378303852544
1371,1066464736349437952
1372,850526425962741760
1373,1340105229719777282
1374,1088077237629390850
1375,1597245588
1376,17875091
1377,813588601430798337
1378,1278852594606235654
1379,1345928357972684802
1380,1115977486586798080
1381,1900832748
1382,1654689073
1383,1249937513248165888
1384,4627128197
1385,3047682930
1386,107253046
1387,241809193
1388,3316536785
1389,1403780834
1390,2603589408
1391,902093941
1392,130692245
1393,1140278356824535040
1394,146186666
1395,185487585
1396,1556620201
1397,859853296420388864
1398,19880854
1399,1362901015557734400
1400,162935311
1401,157448383
1402,931208872966148098
1403,1200238258845888512
1404,2760620381
1405,139566465
1406,139584771
1407,1223728620654514176
1408,969927317438042112
1409,1059168774975356933
1410,1188611781893206017
1411,1171171512436559873
1412,172981175
1413,1306279436657004544
1414,97235437
1415,333109846
1416,2962202218
1417,2202214434
1418,567724440
1419,263832432
1420,1324508955310260224
1421,1269033191391854592
1422,1300415786079735810
1423,1280735402429755392
1424,101800526
1425,1223998376762650626
1426,281875840
1427,4434571462
1428,3002731
1429,516059062
1430,1496746326
1431,1184612540103516160
1432,904806773307174913
1433,2957743180
1434,804424725854306304
1435,4372267883
1436,113078943
1437,1330279498303107073
1438,380659107
1439,342233160
1440,96616197
1441,2229256457
1442,185092379
1443,880863725938520065
1444,1161752176315785216
1445,2432673176
1446,1129678584711385089
1447,206793349
1448,2285114144
1449,3183428020
1450,1065654049918337025
1451,1183560845579739137
1452,1233124619395178497
1453,869268648665526274
1454,1154350097611841536
1455,1182839316785053696
1456,180497066
1457,311159107
1458,1620650588
1459,321514110
1460,877370610497802240
1461,4055965858
1462,1156038606953287681
1463,43098768
1464,1257379549807075329
1465,19147182
1466,149251911
1467,60677723
1468,4904655130
1469,1284922307954331649
1470,1168835165931655168
1471,832362944663011328
1472,919640423051743232
1473,130021716
1474,2617373743
1475,1228328509631815692
1476,1172110744290299905
1477,432148188
1478,158755058
1479,779145260433833984
1480,1069772343805919232
1481,1268568478304415747
1482,398712830
1483,4288690155
1484,3246905751
1485,1571834425
1486,1320428386196590594
1487,1296039208679874567
1488,211538220
1489,155334092
1490,1319431960389963776
1491,782954889123069952
1492,1211838334202335233
1493,942918558404759553
1494,1085970392261509120
1495,480700650
1496,837457455433015296
1497,521820456
1498,96038224
1499,1184676436302598144
1500,1174080907
1501,889243711384715265
1502,4698690631
1503,187726750
1504,911785972471406592
1505,4111772362
1506,1318464292056948736
1507,3131076166
1508,16294264
1509,1362945355931869185
1510,1364993930182479879
1511,4831126977
1512,905208944137777158
1513,375913051
1514,245934117
1515,472063514
1516,1852970838
1517,105301854
1518,896933232066908164
1519,2223945691
1520,1112416254663512064
1521,265584242
1522,2316309354
1523,1225259382461603841
1524,1314707677096927234
1525,2724434380
1526,707462720
1527,937108597
1528,151097329
1529,320493445
1530,1218743680456101888
1531,1365361603831595011
1532,155700835
1533,4685715175
1534,1178031539566907394
1535,2301350815
1536,1684604982
1537,180793651
1538,1928259852
1539,921994489
1540,197883745
1541,146657268
1542,2642526982
1543,193712831
1544,4066821819
1545,3221448826
1546,1251558910173089796
1547,731637176077832192
1548,495583271
1549,896803531872755713
1550,1070839207868973065
1551,767694906156613632
1552,4794814673
1553,881308200095678466
1554,171637871
1555,971186139917901825
1556,1265820174
1557,4197665002
1558,207725640
1559,4196198248
1560,160448554
1561,165101566
1562,146296624
1563,1205508649508048896
1564,845612832808992773
1565,1276941982925979648
1566,2988521818
1567,1203730528349892608
1568,2949097731
1569,915552466091020289
1570,310602518
1571,2271188936
1572,136496903
