,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
155,707321641202814978,1,3.0,0.0,0.00889163908542858,1.8453364021649762e-05,0.3333333333333333
156,992317206,1,10.0,14501.301635865475,0.0028722311679273186,4.676470376554472e-05,0.15555555555555556
157,71009257,1,7.0,109366.68537019023,0.0008880435986604818,3.2840177407581224e-05,0.047619047619047616
158,169360051,1,2.0,0.0,0.00047215616741087016,1.2567129902222036e-05,0.0
159,1349480766749757448,1,1.0,4.921503251134456,0.0025723475943054464,8.468460744069946e-06,0.0
160,539465072,1,6.0,0.0,0.004223048898648497,3.0555527000923506e-05,0.3333333333333333
162,1169225200740831233,1,9.0,3608.7031738237592,0.014303385645705947,4.4250787439327066e-05,0.2777777777777778
163,179669951,1,5.0,0.0,0.00024343204185108802,1.956469521242389e-05,0.0
164,910597284320116738,1,2.0,0.0,0.0018476884003136647,1.3738132510516426e-05,0.0
165,268488742,1,31.0,5453.154890937443,0.016392816304687533,0.0001381443903552453,0.13118279569892474
166,4696317872,1,3.0,0.0,0.005335332188256842,1.7967443848134884e-05,0.3333333333333333
169,1442236609,1,7.0,0.0,0.01097230030109483,3.629887893849874e-05,0.19047619047619047
170,1954572703,1,1.0,6769.330204478515,6.085880888761551e-05,7.88836662181396e-06,0.0
171,1061643374,1,2.0,0.0,0.003786983608151476,1.274381193419475e-05,0.0
177,1345902409692930048,1,7.0,0.0,0.0008043336795880852,3.512856119572906e-05,0.047619047619047616
178,206371045,1,43.0,0.0,0.017464589729849603,0.00018451641810518984,0.09191583610188261
179,2846083090,1,1.0,0.0,4.764087763094135e-05,1.0453928578446897e-05,0.0
180,1136447223628271622,1,5.0,13450.997890294777,0.003554532245643793,3.9494799381102516e-05,0.0
181,312855179,1,1.0,0.0,3.6103050652737535e-05,1.0597895017415447e-05,0.0
182,4160782817,1,126.0,4912.316714576431,0.02559289452853171,0.000550914898505309,0.051534225019669554
183,1354449413414989835,1,6.0,10789.631018175925,0.0006169716219406104,2.658520799515231e-05,0.0
184,1565605044,1,17.0,22349.301471064577,0.0018535950642581628,7.502188393826054e-05,0.022058823529411766
185,1146448109070966784,1,77.0,0.0,0.019477794294187164,0.0003232083350050404,0.07450444292549556
186,210152430,1,18.0,0.0,0.008957754406382584,8.616137674230423e-05,0.17647058823529413
187,332305405,1,23.0,264161.8373866245,0.01289668033424526,0.00010100305468880739,0.2490118577075099
188,997060027147055104,1,2.0,40836.99787439775,7.325499637208613e-05,1.2646120554826666e-05,0.0
190,1183974626,1,8.0,60560.96642778588,0.012995589860332361,3.9332611638219736e-05,0.5
191,15750760,1,1.0,10.45123597510617,0.00011154047392619765,8.339926474838192e-06,0.0
192,882731195834003457,1,1.0,0.0,0.00017886727206300833,7.626178027534186e-06,0.0
193,164350783,1,8.0,26560.32268774435,0.004351051367969414,3.7214257281588734e-05,0.17857142857142858
194,1249892637085237258,1,5.0,0.0,0.0006399204416416132,2.2519317738564425e-05,0.3
